MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
1,2,JNU,1,ANC,1,571.0,1,1.0,AS,120.0
1,2,BWI,35,ALB,22,289.0,2,1.0,WN,151.0
1,1,EWR,21,MCO,33,937.0,2,6.0,NK,83.5
1,2,DFW,74,SNA,91,1205.0,2,7.0,AA,191.5
1,2,SFO,91,BUR,91,326.0,2,1.0,WN,64.5
1,2,LAS,85,ORD,41,1514.0,2,13.0,UA,247.0
1,3,OAK,91,ORD,41,1836.0,2,1.0,NK,118.0
1,4,BNA,54,MYR,37,471.0,2,2.0,G4,50.0
1,3,LAX,91,DFW,74,1235.0,2,3.0,NK,108.5
1,1,LAS,85,STL,64,1371.0,2,1.0,F9,116.0
1,2,IAD,38,MIA,33,921.0,2,1.0,AA,530.5
1,3,ONT,91,JFK,22,2429.0,2,3.0,B6,131.5
1,1,SJU,3,IAH,74,2007.0,1,1.0,UA,284.0
1,1,SJC,91,SEA,93,696.0,2,1.0,AS,273.0
1,1,CVG,52,ATL,34,373.0,2,2.0,DL,183.5
1,3,ORD,41,SEA,93,1721.0,2,1.0,DL,264.5
1,3,PBI,33,BOS,13,1197.0,2,1.0,B6,210.0
1,4,DFW,74,CHS,37,987.0,2,1.0,AA,257.0
1,2,OKC,73,ATL,34,761.0,2,1.0,DL,568.5
1,1,SLC,87,LAX,91,590.0,2,1.0,DL,206.5
1,2,BOS,13,DFW,74,1562.0,2,1.0,AA,334.3
1,2,DEN,82,RSW,33,1607.0,2,1.0,UA,263.0
1,4,BDL,11,RSW,33,1180.0,2,1.0,WN,203.6
1,4,SAN,91,DEN,82,853.0,2,1.0,UA,278.0
1,2,CHS,37,BOS,13,818.0,2,2.0,B6,119.0
1,1,HNL,2,SEA,93,2677.0,1,3.0,AS,948.0
1,1,PDX,92,IAD,38,2327.0,2,1.0,UA,521.31
1,1,CLE,44,BWI,35,314.0,2,1.0,WN,137.5
1,4,PHL,23,OAK,91,2511.0,2,3.0,WN,611.0
1,4,MSP,63,PHX,81,1276.0,2,1.0,SY,167.0
1,3,SEA,93,MCO,33,2554.0,2,1.0,AS,266.5
1,2,EWR,21,SFO,91,2565.0,2,1.0,UA,327.58
1,1,BOS,13,ATL,34,946.0,2,1.0,B6,191.0
1,3,MSY,72,LAX,91,1670.0,2,6.0,AA,215.0
1,4,OAK,91,MDW,41,1844.0,2,1.0,WN,389.5
1,3,PHX,81,DTW,43,1671.0,2,2.0,WN,145.0
1,3,PVD,15,BWI,35,327.0,2,1.0,WN,178.5
1,1,SNA,91,OAK,91,371.0,2,1.0,WN,236.0
2,4,CHS,37,PHX,81,1846.0,2,1.0,DL,583.5
1,4,SLC,87,PHX,81,507.0,2,6.0,DL,100.0
1,2,MSY,72,MCO,33,551.0,2,1.0,WN,124.0
1,2,LIH,2,DEN,82,3414.0,1,1.0,UA,801.28
